frame_id,timestamp_ms,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,detected
0,0,-0.0846,0.0607,7.4070,7.1389,0.0846,-0.6257,0.708,1
1,33,-0.0686,0.0632,7.3920,7.1239,0.0687,-0.6243,0.784,1
2,66,-0.0499,0.0657,7.3658,7.0985,0.0503,-0.6200,0.786,1
3,100,-0.0498,0.0655,7.3463,7.0782,0.0467,-0.6148,0.786,1
4,133,-0.0313,0.0678,7.3170,7.0520,0.0331,-0.6095,0.787,1
5,166,-0.0104,0.0676,7.2952,7.0288,0.0148,-0.6039,0.788,1
6,200,0.0052,0.0699,7.2644,7.0016,-0.0026,-0.5981,0.790,1
7,233,0.0155,0.0721,7.2271,6.9689,-0.0165,-0.5914,0.789,1
8,266,0.0154,0.0719,7.1994,6.9383,-0.0229,-0.5841,0.789,1
9,300,0.0256,0.0741,7.1646,6.9054,-0.0301,-0.5768,0.789,1
10,333,0.0407,0.0762,7.1247,6.8686,-0.0405,-0.5688,0.790,1
11,367,0.0429,0.0806,7.0675,6.8206,-0.0468,-0.5593,0.789,1
12,400,0.0500,0.0825,7.0116,6.7667,-0.0528,-0.5478,0.788,1
13,433,0.0497,0.0820,6.9703,6.7174,-0.0551,-0.5359,0.789,1
14,467,0.0544,0.0840,6.9264,6.6704,-0.0577,-0.5248,0.789,1
15,500,0.0589,0.0859,6.8808,6.6243,-0.0607,-0.5141,0.787,1
16,533,0.0634,0.0877,6.8341,6.5785,-0.0641,-0.5035,0.786,1
17,567,0.0581,0.0895,6.7868,6.5325,-0.0630,-0.4930,0.785,1
18,600,0.0578,0.0891,6.7518,6.4928,-0.0614,-0.4830,0.786,1
19,633,0.0599,0.0910,6.7133,6.4551,-0.0611,-0.4741,0.785,1
20,667,0.0618,0.0950,6.6602,6.4110,-0.0617,-0.4649,0.785,1
21,700,0.0613,0.0966,6.6089,6.3634,-0.0618,-0.4545,0.785,1
22,734,0.0656,0.0982,6.5591,6.3146,-0.0639,-0.4435,0.787,1
23,767,0.0652,0.0977,6.5222,6.2718,-0.0650,-0.4328,0.787,1
24,800,0.0647,0.1015,6.4717,6.2259,-0.0654,-0.4228,0.786,1
25,834,0.0642,0.1031,6.4229,6.1790,-0.0651,-0.4122,0.786,1
26,867,0.0637,0.1046,6.3756,6.1323,-0.0646,-0.4015,0.786,1
27,900,0.0632,0.1081,6.3186,6.0806,-0.0639,-0.3904,0.786,1
